LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy
0.039157,0.047619,0,0,0,0.080645,0.111111,0.166667,0.001124,0.009467,0.017241,0.012931,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0,0,0,0,0,0.074074,0.166667,0.006742,0,0.012931,0.012931,0,no
0.03012,0.190476,0,0,0,0.032258,0.074074,0.166667,0.022472,0,0.043103,0.043103,0,no
0.01506,0,0,0,0,0.016129,0.111111,0.25,0.01236,0.001183,0.021552,0.017241,0,no
0.009036,0.095238,0,0,0,0,0.074074,0.166667,0.006742,0,0.012931,0.012931,0,no
0.045181,0.047619,0,0,0.007937,0.145161,0.111111,0.166667,0.001124,0.009467,0.017241,0.012931,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.01506,0,0,0,0,0.016129,0,0,0,0,0,0,0,no
0.009036,0,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.095238,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.006024,0.095238,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.095238,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.006024,0.095238,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.009036,0,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.006024,0.047619,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.006024,0.047619,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.009036,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.009036,0,0,0,0,0,0,0,0,0,0,0,0,no
0.018072,0,0,0,0,0.032258,0,0,0,0,0,0,0,no
0.009036,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.054217,0.047619,0,0,0,0.16129,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.006024,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.006024,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.012048,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.01506,0.095238,0,0,0,0.016129,0.037037,0.083333,0.005618,0,0.021552,0.021552,0,no
0.006024,0,0,0,0.015873,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.01506,0.142857,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.006024,0,0,0,0.007937,0,0,0,0,0,0,0,0,no
0.01506,0,0,0,0,0.016129,0,0,0,0,0,0,0,no
0.009036,0,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.095238,0,0,0,0,0,0,0,0,0,0,0,no
0.009036,0.047619,0,0,0,0,0,0,0,0,0,0,0,no
0.042169,0.047619,0,0,0.007937,0.16129,0,0,0,0,0,0,0,no
0.039157,0.047619,0,0,0.007937,0.145161,0,0,0,0,0,0,0,no
