VersionIndex,VersionName,MethodFQN,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy,BodyHash
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#checkDirectoryLayoutVersion(File),32,1,5,2,1,6,1,1,32,0,32,32.0,0,yes,ba3ea4dbf8b81e53941a323918fc8a37fd62aaad8f5f467c4186a9e5a5339cee
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#createDirectoryLayoutVersionFile(File),14,1,1,2,0,3,1,1,14,0,14,14.0,0,no,8d23aec9fb914eaa44bff687ac4f5c61147dd0392ddc445565a54a1c14143ba4
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#createHandle(long,boolean)",3,2,0,0,1,0,0,0,0,0,0,0.0,0,no,72ff1518a01dc876374b891f63f42c4614a8e9a487ae9a9393b1301378bfb32d
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#fenceLedger(long),6,1,0,0,0,1,1,1,6,0,6,6.0,0,yes,4b2d091191c3174d078b33fc676889ded76766ddd818c49d2f508cbaa2a9def6
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#fullRead(FileChannel,ByteBuffer)",11,2,2,2,0,2,0,0,0,0,0,0.0,0,no,27bfdba3aa7033bd590922d451f5b46050698e98196fa36eabc4b5354dc6c467
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#getHandle(long,boolean)",25,2,3,3,0,3,1,1,10,0,10,10.0,0,no,7a03a9530701a412477c39d2f2e31474608bebafc007a39687479c05b7c4e2e3
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#getHandle(long,boolean,byte[])",28,3,4,4,0,4,1,1,12,0,12,12.0,0,yes,b71f79f942477f06386569f22cf387ab52c1b31dff24490eadb1036b654d9ab8
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#getLastLogMark(),3,0,0,0,0,0,1,1,3,0,3,3.0,0,no,4dceaeef05698f5f63994b4f72120b3fde39e9421898e2629f2a6a739ffc9148
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#getLedgerForEntry(ByteBuffer,byte[])",9,2,1,1,0,2,1,1,9,0,9,9.0,0,yes,1f57a015bf216f50e4ac1ff123f772161c733bab6e62802a3eeeb76315a4d1ac
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#instantiateZookeeperClient(String),9,1,1,1,0,1,1,1,9,0,9,9.0,0,no,be53441a21991966efb98d7ba5f5f660a9da5a74948e89b479f04a98b8644402
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#isRunning(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,fc64779270c63e6643c9b74703be5e30a7afc3b19e4c57a2c9136d920568018c
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#listJournalIds(File,JournalIdFilter)",21,2,4,3,0,6,1,1,21,0,21,21.0,0,no,56f80aaad8d9afed218d9445672a545689dd7cd70d21106e1815cbf1271df9e7
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#main(String[]),17,1,1,1,0,6,1,1,1,1,2,2.0,0,yes,f9c95077e71b2de3491bfcaedf1cc0fa6b44ed59dcc01911d10ab8c41354410a
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#newZookeeper(String,int)",25,2,5,3,0,1,1,1,25,0,25,25.0,0,yes,a171039ed7f0163d19c2b35291ca04b1899ee6b39043209f5a9e6caee3cac252
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#openChannel(long),3,1,0,0,0,0,1,1,0,1,1,1.0,0,no,423950b31644e1cbd382a14dfd25cda97f8d9d9aaa655035601a918d9cf71a82
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#openChannel(long,long)",9,2,1,1,0,1,2,1,10,1,9,5.5,0,no,91c2d9bc1651a19a7e0b537206985b627a12d663ef088a17e5e1d6516592ca74
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#putHandle(LedgerDescriptor),5,1,0,0,0,0,0,0,0,0,0,0.0,0,no,98531aed8f198b8ea2de01fe92afa536506868dfd3ec80323035147d9b43efcb
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#readEntry(long,long)",11,2,1,2,0,1,0,0,0,0,0,0.0,0,yes,06e2948fd0fdfcdcdc0ab2fb520494ec6762700f603f594478fe8081e6628fe9
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#recoveryAddEntry(ByteBuffer,WriteCallback,Object,byte[])",10,4,0,1,0,1,1,1,10,0,10,10.0,0,no,5d514fd145df8e5a1e54a144bdd41b50cd4b040ae494d7f7c88de91f88effdfc
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#registerBookie(int),11,1,2,1,0,0,1,1,11,0,11,11.0,0,no,c3a28bbf58024d26b3bca93b222a07748475b05f5b9e8ec5f497dffdf84abbe8
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#run(),65,0,11,6,1,9,4,3,19,2,15,5.25,0,no,da3c3644b326b5680d9c825386eddd1b838d82d718c6013a22728a8b5f5669bf
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#shutdown(),16,0,3,1,1,1,3,3,5,1,4,2.0,0,no,70c5226ba9db963505344e55f8723ed020efc134ae059c0bc4dba06a1a227f1c
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$<anon:JournalIdFilter@arg1>#accept(long),6,1,1,1,1,0,1,1,6,0,6,6.0,0,no,204d3f25aa6c893dfb9c2825361ddf9ac1305587a2379e36307635053b585902
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$<anon:Watcher@arg2>#process(WatchedEvent),18,1,5,3,0,0,1,1,13,0,13,13.0,0,no,2132c910c600b1f8ef361cdc3e1fee72b2fb4e682f756630f058442f22176c8d
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$CounterCallback#incCount(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,1bf3e46db34e6fd73887577278b23ca55578f5c31bab280318cc9e306dc13681
