PROJ,WF_ITER,TR_SIZE,TE_SIZE,MODEL,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,THRESHOLD_STRATEGY,THRESHOLD,PRECISION,RECALL,F1,SPECIFICITY,BALANCED_ACCURACY,G_MEAN,MCC,KAPPA,AUC,TP,FP,TN,FN
BOOKKEEPER,2,5221,5865,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.017241379310344827,0.6666666666666666,0.03361344537815126,0.8634496919917864,0.7650581793292266,0.758704901786277,0.09168183423188422,0.026820072634089996,0.8747474006714253,14,798,5046,7
BOOKKEEPER,2,5221,5865,IBk,none,SMOTE,none,DEFAULT,0.5,0.0148975791433892,0.38095238095238093,0.02867383512544803,0.909479808350445,0.6452160946514129,0.5886157476819807,0.060150639459630686,0.02193337099352678,0.6906187868713536,8,529,5315,13
BOOKKEEPER,2,5221,5865,RandomForest,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.011538461538461539,0.14285714285714285,0.021352313167259787,0.9560232717316907,0.5494402072944168,0.36956021580322634,0.028694624586477018,0.014824587925933011,0.6000252599328575,3,257,5587,18
BOOKKEEPER,2,5221,5865,NaiveBayes,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.02009273570324575,0.6190476190476191,0.038922155688622756,0.8915126625598905,0.7552801408037548,0.7428921800022555,0.09734364398026567,0.032209561085742286,0.8713536064665428,13,634,5210,8
BOOKKEEPER,2,5221,5865,IBk,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.021739130434782608,0.42857142857142855,0.041379310344827586,0.9306981519507187,0.6796347902610737,0.6315620607274537,0.08378126941872774,0.03480107834327217,0.6220380691633258,9,405,5439,12
BOOKKEEPER,2,5221,5865,RandomForest,none,none,CostSensitive,DEFAULT,0.5,0.026490066225165563,0.19047619047619047,0.04651162790697675,0.9748459958932238,0.5826610931847072,0.43091176776540846,0.06235012083437427,0.04047931143871444,0.7688634659887227,4,147,5697,17
BOOKKEEPER,2,5221,5865,NaiveBayes,none,none,CostSensitive,DEFAULT,0.5,0.0214168039538715,0.6190476190476191,0.04140127388535032,0.8983572895277208,0.7587024542876699,0.7457385206198002,0.10145901905838521,0.034719932548255714,0.868517975294156,13,594,5250,8
BOOKKEEPER,2,5221,5865,IBk,none,none,CostSensitive,DEFAULT,0.5,0.0149812734082397,0.19047619047619047,0.027777777777777776,0.9549965776865161,0.5727363840813533,0.4265021805753481,0.041684478853122986,0.021280095547665644,0.6340487598187804,4,263,5581,17
BOOKKEEPER,3,11086,6924,RandomForest,none,none,none,DEFAULT,0.5,0.7142857142857143,0.16129032258064516,0.2631578947368421,0.9991216512955643,0.5802059869381048,0.40143324903994737,0.33580860123526063,0.25949352583934887,0.7768325297544559,15,6,6825,78
BOOKKEEPER,3,11086,6924,NaiveBayes,none,none,none,DEFAULT,0.5,0.07961165048543689,0.44086021505376344,0.13486842105263158,0.9306104523495828,0.6857353337016732,0.6405225399266736,0.16297064811988793,0.11472478623005039,0.847045332552579,41,474,6357,52
BOOKKEEPER,3,11086,6924,IBk,none,none,none,DEFAULT,0.5,0.3617021276595745,0.1827956989247312,0.24285714285714288,0.9956082564778217,0.5892019777012765,0.42660626706378385,0.250114951920904,0.23596684634266982,0.696862658059479,17,30,6801,76
BOOKKEEPER,3,11086,6924,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.45454545454545453,0.10752688172043011,0.1739130434782609,0.9982433025911287,0.5528850921557794,0.3276247694023268,0.2163455966021493,0.16964583270215455,0.6835906202432617,10,12,6819,83
BOOKKEEPER,3,11086,6924,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.0821529745042493,0.3118279569892473,0.13004484304932737,0.9525691699604744,0.6321985634748608,0.5450116495633078,0.13836850934276942,0.1111464026156285,0.8359951391741948,29,324,6507,64
BOOKKEEPER,3,11086,6924,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.40625,0.13978494623655913,0.20799999999999996,0.9972185624359537,0.5685017543362565,0.3733579289853218,0.2325239452314844,0.20251574083122945,0.5581418045186161,13,19,6812,80
BOOKKEEPER,3,11086,6924,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.3269230769230769,0.1827956989247312,0.23448275862068965,0.9948762992241253,0.5888359990744283,0.42644942075271247,0.23689688834961495,0.2270362905659021,0.7373422553413204,17,35,6796,76
BOOKKEEPER,3,11086,6924,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.06690997566909976,0.5913978494623656,0.12021857923497269,0.8877177572829746,0.7395578033726702,0.724564954014963,0.170510812692799,0.09846199831526314,0.8379462381332414,55,767,6064,38
BOOKKEEPER,3,11086,6924,IBk,none,SMOTE,none,DEFAULT,0.5,0.13142857142857142,0.24731182795698925,0.1716417910447761,0.9777484994876299,0.6125301637223095,0.4917405501791459,0.16506075410916357,0.15685196826034334,0.7124572828172642,23,152,6679,70
BOOKKEEPER,3,11086,6924,RandomForest,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.12631578947368421,0.12903225806451613,0.1276595744680851,0.98784950958864,0.5584408838265781,0.35702164199127634,0.11566182188116479,0.11565509539407957,0.5521177176156138,12,83,6748,81
BOOKKEEPER,3,11086,6924,NaiveBayes,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.06794871794871794,0.5698924731182796,0.12142038946162657,0.8935734153125457,0.7317329442154127,0.7136110730399398,0.16874405733941156,0.09981469842219041,0.838185501579611,53,727,6104,40
BOOKKEEPER,3,11086,6924,IBk,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.0958904109589041,0.15053763440860216,0.11715481171548117,0.9806763285024155,0.5656069814555088,0.38422479697862666,0.1051323710121773,0.10242553818932373,0.5417066094952958,14,132,6699,79
BOOKKEEPER,3,11086,6924,RandomForest,none,none,CostSensitive,DEFAULT,0.5,0.29411764705882354,0.21505376344086022,0.2484472049689441,0.9929732103645147,0.6040134869026874,0.46210672564337546,0.2428361884141074,0.23982230545604874,0.7335156143010281,20,48,6783,73
BOOKKEEPER,3,11086,6924,NaiveBayes,none,none,CostSensitive,DEFAULT,0.5,0.07911392405063292,0.5376344086021505,0.13793103448275862,0.9148001756697409,0.7262172921359458,0.7013045354447272,0.1808366761729145,0.1172597294194537,0.8470107023169202,50,582,6249,43
BOOKKEEPER,3,11086,6924,IBk,none,none,CostSensitive,DEFAULT,0.5,0.2247191011235955,0.21505376344086022,0.21978021978021978,0.98989898989899,0.602476376669925,0.46139083563079564,0.2094465018303446,0.2093945549020839,0.696851639348133,20,69,6762,73
BOOKKEEPER,4,18010,7218,RandomForest,none,none,none,DEFAULT,0.5,0.7083333333333334,0.32075471698113206,0.44155844155844154,0.999023028611305,0.6598888727962186,0.5660753914452142,0.4742457318888686,0.4389905321721791,0.9199818299121779,17,7,7158,36
BOOKKEEPER,4,18010,7218,NaiveBayes,none,none,none,DEFAULT,0.5,0.05137614678899083,0.5283018867924528,0.09364548494983278,0.9278436845778087,0.7280727856851308,0.7001296802813874,0.14739769135072536,0.08135032360445638,0.8507235118303071,28,517,6648,25
BOOKKEEPER,4,18010,7218,IBk,none,none,none,DEFAULT,0.5,0.4166666666666667,0.2830188679245283,0.33707865168539325,0.9970690858339148,0.6400439768792215,0.5312149884135978,0.33944273039901035,0.3331172308819815,0.8664314210852019,15,21,7144,38
BOOKKEEPER,4,18010,7218,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.47058823529411764,0.1509433962264151,0.2285714285714286,0.9987438939288207,0.5748436450776179,0.3882702606561706,0.26363926504881674,0.22581029599291302,0.877561258212748,8,9,7156,45
BOOKKEEPER,4,18010,7218,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.055401662049861494,0.37735849056603776,0.09661835748792269,0.9524075366364271,0.6648830136012325,0.5994990162033966,0.12916096130610216,0.08490006393250678,0.8537070929176158,20,341,6824,33
BOOKKEEPER,4,18010,7218,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.36,0.16981132075471697,0.23076923076923075,0.9977669225401256,0.5837891216474212,0.4116213295274045,0.24352224068921416,0.22713142049490181,0.8274078658046847,9,16,7149,44
BOOKKEEPER,4,18010,7218,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.417910447761194,0.5283018867924528,0.4666666666666667,0.9945568736915562,0.7614293802420045,0.7248629338665706,0.4654892231608893,0.4622574960014342,0.9023594780708106,28,39,7126,25
BOOKKEEPER,4,18010,7218,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.03395784543325527,0.5471698113207547,0.0639470782800441,0.8848569434752268,0.7160133773979908,0.6958211025883014,0.11419909288863783,0.05082244948345806,0.8395502244927517,29,825,6340,24
BOOKKEEPER,4,18010,7218,IBk,none,SMOTE,none,DEFAULT,0.5,0.15942028985507245,0.41509433962264153,0.23036649214659688,0.9838101884159107,0.6994522640192762,0.6390415013710213,0.24869028853787523,0.2221127411089339,0.8639876759404337,22,116,7049,31
BOOKKEEPER,4,18010,7218,RandomForest,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.08764940239043825,0.41509433962264153,0.14473684210526316,0.9680390788555479,0.6915667092390947,0.633898684464997,0.17854031667908907,0.13423931546649623,0.8091561442546973,22,229,6936,31
BOOKKEEPER,4,18010,7218,NaiveBayes,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.03761061946902655,0.6415094339622641,0.07105538140020899,0.8785764131193301,0.760042923540797,0.7507430036122733,0.13414811168724547,0.057987592710416466,0.8374316975865383,34,870,6295,19
BOOKKEEPER,4,18010,7218,IBk,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.0711743772241993,0.37735849056603776,0.11976047904191618,0.9635729239357991,0.6704657072509184,0.6030028392360327,0.15047835859054043,0.10874891748347135,0.7948610251616216,20,261,6904,33
BOOKKEEPER,4,18010,7218,RandomForest,none,none,CostSensitive,DEFAULT,0.5,0.46153846153846156,0.6792452830188679,0.549618320610687,0.9941381716678297,0.8366917273433487,0.8217442812544392,0.5560477225578957,0.5456454245751048,0.9033048493067717,36,42,7123,17
BOOKKEEPER,4,18010,7218,NaiveBayes,none,none,CostSensitive,DEFAULT,0.5,0.04387291981845688,0.5471698113207547,0.08123249299719888,0.9117934403349616,0.7294816258278581,0.7063326728331224,0.13585343515744858,0.06856931307938915,0.8507919788278977,29,632,6533,24
BOOKKEEPER,4,18010,7218,IBk,none,none,CostSensitive,DEFAULT,0.5,0.37894736842105264,0.6792452830188679,0.48648648648648657,0.9917655268667132,0.8355054049427906,0.8207630937030107,0.5026691981890911,0.4815997822705458,0.866463021237936,36,59,7106,17
BOOKKEEPER,5,25228,7541,RandomForest,none,none,none,DEFAULT,0.5,0.8378378378378378,0.6078431372549019,0.7045454545454545,0.9991989319092123,0.8035210345820571,0.7793306188733012,0.7120287204477623,0.7028555667031395,0.9162019948166182,31,6,7484,20
BOOKKEEPER,5,25228,7541,NaiveBayes,none,none,none,DEFAULT,0.5,0.0423572744014733,0.45098039215686275,0.07744107744107745,0.9305740987983978,0.6907772454776303,0.6478199379512185,0.12097501445251076,0.06589107335315214,0.8680737715647007,23,520,6970,28
BOOKKEEPER,5,25228,7541,IBk,none,none,none,DEFAULT,0.5,0.6458333333333334,0.6078431372549019,0.6262626262626263,0.9977303070761014,0.8027867221655016,0.7787576773216648,0.6240858474594404,0.6237954434830902,0.8767952040629335,31,17,7473,20
BOOKKEEPER,5,25228,7541,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.8095238095238095,0.3333333333333333,0.4722222222222222,0.9994659546061415,0.6663996439697374,0.5771960829753153,0.5175946964063036,0.47013183927812513,0.8510693997225058,17,4,7486,34
BOOKKEEPER,5,25228,7541,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.04607046070460705,0.3333333333333333,0.08095238095238096,0.9530040053404539,0.6431686693368937,0.5636204412369652,0.1087854111609283,0.06989943065879149,0.8648249954187283,17,352,7138,34
BOOKKEEPER,5,25228,7541,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.5806451612903226,0.35294117647058826,0.4390243902439025,0.9982643524699599,0.6756027644702741,0.5935727377410436,0.4498694747730939,0.43614109232769993,0.8085067671928584,18,13,7477,33
BOOKKEEPER,5,25228,7541,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.5666666666666667,0.6666666666666666,0.6126126126126126,0.9965287049399199,0.8315976858032932,0.8150781986778609,0.611803603983808,0.6097594144399492,0.907513285688107,34,26,7464,17
BOOKKEEPER,5,25228,7541,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.03302961275626424,0.5686274509803921,0.06243272335844994,0.886648865153538,0.7276381580669651,0.7100513249807465,0.11633727603187559,0.050292125558105645,0.8770347391292965,29,849,6641,22
BOOKKEEPER,5,25228,7541,IBk,none,SMOTE,none,DEFAULT,0.5,0.29310344827586204,0.6666666666666666,0.40718562874251496,0.9890520694259012,0.8278593680462839,0.8120148066900837,0.43668308160164004,0.4015631074576243,0.8675423440404199,34,82,7408,17
BOOKKEEPER,5,25228,7541,RandomForest,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.11347517730496454,0.6274509803921569,0.1921921921921922,0.9666221628838452,0.797036571638001,0.7787862503731404,0.2566273644965272,0.18283194132748792,0.8448362522579125,32,250,7240,19
BOOKKEEPER,5,25228,7541,NaiveBayes,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.038002171552660155,0.6862745098039216,0.0720164609053498,0.8817089452603472,0.7839917275321344,0.7778781229718943,0.1421683333886676,0.059968683966494456,0.8672661587999686,35,886,6604,16
BOOKKEEPER,5,25228,7541,IBk,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.10714285714285714,0.6470588235294118,0.18384401114206128,0.9632843791722296,0.8051716013508208,0.7894945579998907,0.2527350750824147,0.1742617076070244,0.8150658394198801,33,275,7215,18
BOOKKEEPER,5,25228,7541,RandomForest,none,none,CostSensitive,DEFAULT,0.5,0.5409836065573771,0.6470588235294118,0.5892857142857144,0.9962616822429906,0.8216602528862011,0.8028947079409492,0.5886236063150087,0.586237580066084,0.9012709756799916,33,28,7462,18
BOOKKEEPER,5,25228,7541,NaiveBayes,none,none,CostSensitive,DEFAULT,0.5,0.037993920972644375,0.49019607843137253,0.07052186177715092,0.9154873164218958,0.7028416974266342,0.6699017035085628,0.11781793244414272,0.05870570303400739,0.8680528286080788,25,633,6857,26
BOOKKEEPER,5,25228,7541,IBk,none,none,CostSensitive,DEFAULT,0.5,0.4657534246575342,0.6666666666666666,0.5483870967741935,0.9947930574098799,0.8307298620382733,0.814368081156541,0.5536889005499834,0.5447620731362898,0.8768017487368779,34,39,7451,17
BOOKKEEPER,6,32769,7765,RandomForest,none,none,none,DEFAULT,0.5,0.75,0.5714285714285714,0.6486486486486486,0.9994834710743802,0.7854560212514758,0.7557336912183438,0.6538508634914205,0.6478249189730503,0.9963443280204644,12,4,7740,9
BOOKKEEPER,6,32769,7765,NaiveBayes,none,none,none,DEFAULT,0.5,0.015957446808510637,0.42857142857142855,0.030769230769230767,0.9283316115702479,0.6784515200708382,0.6307585948353598,0.0714178232907723,0.0256884680726486,0.8778070887445888,9,555,7189,12
BOOKKEEPER,6,32769,7765,IBk,none,none,none,DEFAULT,0.5,0.38461538461538464,0.7142857142857143,0.5,0.996900826446281,0.8555932703659976,0.8438435985952614,0.5224758161840424,0.4982359098957088,0.980439541519087,15,24,7720,6
BOOKKEEPER,6,32769,7765,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.5294117647058824,0.42857142857142855,0.4736842105263158,0.9989669421487604,0.7137691853600945,0.6543154357741576,0.47505965682676404,0.47240756091262215,0.9452909779614325,9,8,7736,12
BOOKKEEPER,6,32769,7765,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.015503875968992248,0.2857142857142857,0.02941176470588235,0.9508006198347108,0.6182574527744982,0.521207559378003,0.05644507149081663,0.024406494438533353,0.8919255460448642,6,381,7363,15
BOOKKEEPER,6,32769,7765,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.38461538461538464,0.47619047619047616,0.42553191489361697,0.9979338842975206,0.7370621802439984,0.6893523130955955,0.42624126506702015,0.42380786175015656,0.8902406778827233,10,16,7728,11
BOOKKEEPER,6,32769,7765,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.3333333333333333,0.7142857142857143,0.4545454545454545,0.9961260330578512,0.8552058736717827,0.8435156163588925,0.4860573858082985,0.4525264394829673,0.9718553227075954,15,30,7714,6
BOOKKEEPER,6,32769,7765,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.014412416851441241,0.6190476190476191,0.02816901408450704,0.8852014462809917,0.7521245326643053,0.7402579602393727,0.08172918217869593,0.023004789730589437,0.8873936196379378,13,889,6855,8
BOOKKEEPER,6,32769,7765,IBk,none,SMOTE,none,DEFAULT,0.5,0.16,0.7619047619047619,0.2644628099173554,0.9891528925619835,0.8755288272333727,0.8681245873115474,0.3459469583613025,0.26116008189316603,0.961629279811098,16,84,7660,5
BOOKKEEPER,6,32769,7765,RandomForest,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.04912280701754386,0.6666666666666666,0.09150326797385619,0.9650051652892562,0.8158359159779613,0.8020827743191498,0.17446591861579722,0.08690337207925153,0.8525248425816607,14,271,7473,7
BOOKKEEPER,6,32769,7765,NaiveBayes,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.014925373134328358,0.6666666666666666,0.029197080291970802,0.8806818181818182,0.7736742424242424,0.7662383520297141,0.08722477726628687,0.02403378640813463,0.8945543093270366,14,924,6820,7
BOOKKEEPER,6,32769,7765,IBk,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.05063291139240506,0.7619047619047619,0.09495548961424331,0.9612603305785123,0.8615825462416371,0.8557971858436519,0.1900803598331856,0.09034185470282093,0.8995013036206218,16,300,7444,5
BOOKKEEPER,6,32769,7765,RandomForest,none,none,CostSensitive,DEFAULT,0.5,0.4473684210526316,0.8095238095238095,0.576271186440678,0.9972882231404959,0.9034060163321527,0.8985146418339132,0.6004369796428848,0.5747898865157275,0.9819491587957497,17,21,7723,4
BOOKKEEPER,6,32769,7765,NaiveBayes,none,none,CostSensitive,DEFAULT,0.5,0.013493253373313344,0.42857142857142855,0.02616279069767442,0.9150309917355371,0.6718012101534828,0.626223713472454,0.06368213562706136,0.02102927456567195,0.8781452922077922,9,658,7086,12
BOOKKEEPER,6,32769,7765,IBk,none,none,CostSensitive,DEFAULT,0.5,0.3333333333333333,0.9047619047619048,0.4871794871794871,0.9950929752066116,0.9499274399842581,0.9488531054189182,0.5474651958789101,0.4851444446654597,0.9804272432113341,19,38,7706,2
