@relation training

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumCodeSmells numeric
@attribute NumLocalVariables numeric
@attribute NumRevisions numeric
@attribute NumAuthors numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute HasFixHistory numeric
@attribute IsBuggy {no,yes}

@data
3,5,0,0,0,0,7,7,21,0,3,3,0,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
26,4,2,1,0,0,7,5,182,0,26,26,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,7,21,0,3,3,0,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,7,21,0,3,3,0,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,7,21,0,3,3,0,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,7,21,0,3,3,0,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,7,21,0,3,3,0,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,7,21,0,3,3,0,no
3,1,0,0,0,0,7,7,21,0,3,3,0,no
7,0,1,1,0,2,7,5,49,0,7,7,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,13,9,27,6,4,2.538462,1,no
8,5,0,0,0,0,8,7,57,1,8,7.25,0,no
4,6,0,0,0,0,12,9,28,0,4,2.333333,1,no
5,8,0,0,0,0,12,9,35,0,5,2.916667,1,no
5,10,0,0,0,0,12,9,80,45,14,10.416667,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,2,0,0,0,0,7,5,21,0,3,3,1,no
0,1,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,1,0,0,0,0,7,7,0,0,0,0,0,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,1,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,2,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,1,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,1,0,0,0,0,7,5,0,0,0,0,1,no
0,1,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,4,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,1,0,7,5,0,0,0,0,1,no
0,0,0,0,1,0,7,5,0,0,0,0,1,no
0,2,0,0,1,0,7,5,0,0,0,0,1,no
0,1,0,0,1,0,7,5,0,0,0,0,1,no
3,3,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
5,3,0,0,0,0,7,5,35,0,5,5,1,no
16,0,3,1,0,1,7,5,112,0,16,16,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
5,1,0,0,1,1,7,5,35,0,5,5,1,no
16,0,4,2,2,2,7,5,112,0,16,16,1,no
5,4,0,0,0,0,7,5,35,0,5,5,1,no
14,0,2,1,1,2,12,9,103,5,14,9,1,no
4,0,0,0,0,0,7,5,28,0,4,4,1,no
8,0,1,1,1,1,7,5,56,0,8,8,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
7,0,1,1,0,1,7,5,49,0,7,7,1,no
2,1,0,0,0,0,7,5,14,0,2,2,1,no
3,1,0,0,1,0,7,5,21,0,3,3,1,no
8,0,0,0,1,4,7,5,56,0,8,8,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
7,4,0,0,0,0,7,5,49,0,7,7,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
8,0,1,1,1,2,7,5,56,0,8,8,1,no
15,6,1,1,0,4,7,5,105,0,15,15,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
14,2,3,2,1,1,7,5,98,0,14,14,1,no
14,1,2,2,1,2,7,5,98,0,14,14,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
9,3,1,1,0,1,7,5,63,0,9,9,1,no
2,0,0,0,1,0,7,5,14,0,2,2,1,no
11,0,2,1,1,1,7,5,77,0,11,11,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
0,1,0,0,0,0,7,5,0,0,0,0,1,no
0,0,0,0,0,0,7,5,0,0,0,0,1,no
0,2,0,0,1,0,7,5,0,0,0,0,1,no
0,1,0,0,0,0,7,5,0,0,0,0,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,4,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,4,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,1,0,7,5,21,0,3,3,1,no
3,2,0,0,1,0,7,5,21,0,3,3,1,no
3,2,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
4,1,0,0,0,0,7,5,28,0,4,4,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,2,0,0,1,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,2,0,0,0,0,7,5,21,0,3,3,1,no
5,0,1,1,0,1,7,5,35,0,5,5,1,no
11,1,1,1,0,2,7,5,77,0,11,11,1,no
15,4,2,1,2,6,7,5,105,0,15,15,1,no
19,4,2,1,0,7,7,5,133,0,19,19,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
3,1,0,0,1,0,7,5,21,0,3,3,1,no
3,1,0,0,0,0,7,5,21,0,3,3,1,no
23,4,2,1,0,0,7,5,161,0,23,23,1,no
3,0,0,0,1,0,7,5,21,0,3,3,1,no
3,2,0,0,1,0,7,5,21,0,3,3,1,no
3,2,0,0,0,0,7,5,21,0,3,3,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
4,1,0,0,0,0,7,5,28,0,4,4,1,no
14,1,2,2,1,0,12,9,103,5,14,9,1,no
3,0,0,0,0,0,7,5,21,0,3,3,1,no
18,2,4,2,0,3,7,5,126,0,18,18,1,no
4,2,0,0,0,0,7,5,28,0,4,4,1,no
17,3,3,1,0,4,17,9,128,5,17,7.823529,1,no
7,0,1,1,0,0,6,5,42,0,7,7,1,no
6,2,0,0,0,0,7,6,42,0,6,6,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,7,28,0,4,4,0,no
4,1,0,0,0,0,7,7,28,0,4,4,0,no
3,0,0,0,0,0,15,9,99,56,14,10.333333,1,no
20,1,4,2,0,3,37,21,254,86,21,9.189189,1,no
4,3,0,0,0,0,5,4,20,0,4,4,1,no
2,1,0,0,1,0,7,6,14,0,2,2,1,no
4,2,0,0,0,0,19,16,35,5,3,2.105263,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
18,1,3,2,0,4,29,16,135,17,14,5.241379,1,no
3,1,0,0,0,0,7,6,21,0,3,3,1,no
5,3,0,0,0,0,7,6,35,0,5,5,1,no
0,1,0,0,0,0,7,6,0,0,0,0,1,no
0,1,0,0,0,0,7,6,0,0,0,0,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
4,2,0,0,0,0,7,6,28,0,4,4,1,no
4,0,0,0,0,0,7,6,28,0,4,4,1,no
0,2,0,0,1,0,10,8,0,0,0,0,1,no
0,1,0,0,0,0,7,6,0,0,0,0,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,1,7,6,28,0,4,4,1,no
14,1,4,2,0,3,7,6,98,0,14,14,1,no
2,0,0,0,2,0,7,6,14,0,2,2,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
6,0,1,1,1,0,7,6,42,0,6,6,1,no
6,0,1,1,1,0,7,6,42,0,6,6,1,no
4,4,0,0,0,0,7,6,28,0,4,4,1,no
4,3,0,0,0,0,7,6,28,0,4,4,1,no
3,1,0,0,0,0,7,6,21,0,3,3,1,no
4,3,0,0,0,0,7,6,28,0,4,4,1,no
3,1,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
4,2,0,0,0,0,7,6,28,0,4,4,1,no
5,4,0,0,0,0,7,6,35,0,5,5,1,no
4,3,0,0,0,0,7,6,28,0,4,4,1,no
3,0,0,0,0,0,7,6,21,0,3,3,1,no
27,3,6,3,0,5,7,6,189,0,27,27,1,no
12,1,2,1,1,1,7,6,84,0,12,12,1,no
12,2,3,2,0,3,7,6,84,0,12,12,1,no
8,1,1,1,0,0,7,6,56,0,8,8,1,no
3,0,0,0,0,0,6,5,18,0,3,3,1,no
13,3,1,1,0,1,7,6,91,0,13,13,1,no
0,0,0,0,0,0,7,6,0,0,0,0,1,no
0,0,0,0,0,0,7,6,0,0,0,0,1,no
0,0,0,0,0,0,7,6,0,0,0,0,1,no
0,0,0,0,0,0,7,6,0,0,0,0,1,no
0,0,0,0,0,0,7,6,0,0,0,0,1,no
0,0,0,0,0,0,7,6,0,0,0,0,1,no
0,0,0,0,0,0,7,6,0,0,0,0,1,no
11,1,2,2,1,1,7,6,77,0,11,11,1,no
24,1,9,9,2,0,17,14,174,0,22,10.235294,1,no
2,0,0,0,0,0,7,6,14,0,2,2,1,no
6,1,1,1,0,0,10,5,54,0,6,5.4,1,no
2,0,0,0,0,0,9,5,18,0,2,2,1,no
7,2,1,1,0,0,10,5,64,1,7,6.5,1,no
3,1,0,0,0,0,10,5,27,0,3,2.7,1,no
15,1,2,2,0,3,10,5,136,1,15,13.7,1,no
4,2,0,0,0,0,10,5,36,0,4,3.6,1,no
4,2,0,0,0,0,10,5,36,0,4,3.6,1,no
13,2,2,2,0,1,10,5,118,1,13,11.9,1,no
20,1,6,6,0,4,9,5,180,0,20,20,1,no
