Key,CreationDate,ResolutionDate,OpeningVersionIndex,OpeningVersionName,FixedVersionIndex,FixedVersionName,InjectedVersionIndex,InjectedVersionName,AffectedVersionIndices,AffectedVersionNames,NumAssociatedCommits
STORM-328,2014-05-20,2014-07-15,3,0.9.2-incubating,4,0.9.3,1,0.9.0.1,1|2|3,0.9.0.1|0.9.1-incubating|0.9.2-incubating,5
STORM-403,2014-07-16,2014-07-21,4,0.9.3,4,0.9.3,4,0.9.3,,,5
STORM-402,2014-07-14,2014-07-21,4,0.9.3,4,0.9.3,3,0.9.2-incubating,3|4,0.9.2-incubating|0.9.3,2
STORM-254,2014-03-06,2014-07-21,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,5
STORM-420,2014-07-24,2014-07-24,4,0.9.3,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,1
STORM-399,2014-07-09,2014-07-24,4,0.9.3,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,5
STORM-419,2014-07-23,2014-07-25,4,0.9.3,4,0.9.3,4,0.9.3,,,4
STORM-415,2014-07-21,2014-07-25,4,0.9.3,4,0.9.3,4,0.9.3,,,4
STORM-155,2013-12-15,2014-07-25,2,0.9.1-incubating,4,0.9.3,2,0.9.1-incubating,,,4
STORM-347,2014-06-10,2014-07-28,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,,,6
STORM-406,2014-07-17,2014-07-29,4,0.9.3,4,0.9.3,1,0.9.0.1,1|2|3,0.9.0.1|0.9.1-incubating|0.9.2-incubating,3
STORM-348,2014-06-10,2014-07-30,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,,,8
STORM-369,2014-06-24,2014-07-31,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,3|4,0.9.2-incubating|0.9.3,4
STORM-366,2014-06-23,2014-07-31,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,,,6
STORM-239,2014-02-10,2014-07-31,2,0.9.1-incubating,4,0.9.3,2,0.9.1-incubating,,,5
STORM-417,2014-07-22,2014-08-07,4,0.9.3,4,0.9.3,4,0.9.3,,,7
STORM-396,2014-07-09,2014-08-07,4,0.9.3,4,0.9.3,2,0.9.1-incubating,2,0.9.1-incubating,3
STORM-346,2014-06-10,2014-08-07,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,,,7
STORM-87,2013-12-14,2014-08-07,2,0.9.1-incubating,4,0.9.3,2,0.9.1-incubating,,,7
STORM-279,2014-04-07,2014-08-08,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,,,4
STORM-277,2014-04-05,2014-08-08,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,,,0
STORM-86,2013-12-14,2014-08-08,2,0.9.1-incubating,4,0.9.3,2,0.9.1-incubating,,,0
STORM-451,2014-08-12,2014-08-16,4,0.9.3,4,0.9.3,4,0.9.3,4,0.9.3,2
STORM-349,2014-06-10,2014-08-18,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,,,5
STORM-458,2014-08-14,2014-08-19,4,0.9.3,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,3
STORM-443,2014-08-07,2014-08-19,4,0.9.3,4,0.9.3,4,0.9.3,4,0.9.3,3
STORM-472,2014-08-25,2014-08-25,4,0.9.3,4,0.9.3,4,0.9.3,4,0.9.3,3
STORM-464,2014-08-20,2014-08-25,4,0.9.3,4,0.9.3,4,0.9.3,4,0.9.3,5
STORM-449,2014-08-11,2014-08-25,4,0.9.3,4,0.9.3,4,0.9.3,,,4
STORM-437,2014-08-05,2014-08-25,4,0.9.3,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,4
STORM-274,2014-04-03,2014-08-25,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,5
STORM-401,2014-07-14,2014-08-26,4,0.9.3,4,0.9.3,4,0.9.3,,,4
STORM-476,2014-08-26,2014-08-29,4,0.9.3,4,0.9.3,1,0.9.0.1,1|2|3|4,0.9.0.1|0.9.1-incubating|0.9.2-incubating|0.9.3,1
STORM-461,2014-08-19,2014-08-29,4,0.9.3,4,0.9.3,4,0.9.3,,,5
