MethodName,Tag,LOC,NumParameters,NumBranches,CyclomaticComplexity,NestingDepth,NumCodeSmells,NumLocalVariables
select_before,BEFORE,54,2,15,16,14,3,11
select_after,AFTER,13,2,1,2,1,3,3
prepareStatement,HELPER,8,3,1,2,1,0,1
readRows,HELPER,13,1,2,3,2,0,5
readColumn,HELPER,39,3,11,12,1,0,3
select,AGG_AFTER_PLUS_HELPERS,73,2,15,19,2,3,12
