PROJ,WF_ITER,MODEL,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,THRESHOLD_STRATEGY,THRESHOLD,PRECISION,RECALL,F1,SPECIFICITY,BALANCED_ACCURACY,G_MEAN,MCC,KAPPA,AUC,TP,FP,TN,FN
STORM,1,RandomForest,none,none,none,DEFAULT,0.5,0.1368421052631579,0.03513513513513514,0.055913978494623665,0.9952740476053253,0.5152045913702302,0.18700023571938626,0.05954278990335394,0.04779041281082961,0.7825955977301721,13,82,17269,357
STORM,1,NaiveBayes,none,none,none,DEFAULT,0.5,0.10731244064577398,0.6108108108108108,0.18255250403877224,0.8916488963172151,0.751229853564013,0.7379896918779304,0.2220057281046997,0.15244899920971197,0.8334032464831842,226,1880,15471,144
STORM,1,IBk,none,none,none,DEFAULT,0.5,0.07575757575757576,0.0945945945945946,0.08413461538461538,0.9753904674082186,0.5349925310014065,0.30375428529637666,0.06279711130762261,0.06239345223910844,0.7399095308783511,35,427,16924,335
STORM,1,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.08223684210526316,0.06756756756756757,0.0741839762611276,0.9839202351449484,0.525743901356258,0.257839285155023,0.056694901816366425,0.05641183876363172,0.8243322684104195,25,279,17072,345
STORM,1,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.1615566037735849,0.37027027027027026,0.22495894909688013,0.9590225347242234,0.6646464024972468,0.5959006067521813,0.22057245607160475,0.20175134794870375,0.8212701347535075,137,711,16640,233
STORM,1,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.06976744186046512,0.04054054054054054,0.05128205128205128,0.9884732868422569,0.5145069136913987,0.20018301965568877,0.03789269094988672,0.03649505250211081,0.7632687266253055,15,200,17151,355
STORM,1,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.055248618784530384,0.10810810810810811,0.07312614259597806,0.9605786410005187,0.5343433745543134,0.3222519814797477,0.04961130586574798,0.04678369025666305,0.7657758646203117,40,684,16667,330
STORM,1,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.04828226555246054,0.8432432432432433,0.09133489461358316,0.6455535703994006,0.744398406821322,0.7378066727746815,0.14519715160138982,0.05396966524282253,0.8247334447582272,312,6150,11201,58
STORM,1,IBk,none,SMOTE,none,DEFAULT,0.5,0.0629190304280557,0.32972972972972975,0.10567345171069728,0.8952798109619042,0.612504770345817,0.5433234488782462,0.10306094634634749,0.07317248423996096,0.7593749561907017,122,1817,15534,248
STORM,1,RandomForest,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.0958498023715415,0.26216216216216215,0.14037626628075253,0.9472652873033255,0.6047137247327439,0.49833434144217026,0.1290420443711381,0.113261135270825,0.8168482383599668,97,915,16436,273
