Index,Id,Name,Date,NumCommits
1,12326789,0.9.0.1,2013-12-06,2062
2,12326788,0.9.1-incubating,2014-02-10,150
3,12326452,0.9.2-incubating,2014-06-25,533
4,12327112,0.9.3,2014-11-25,677
5,12329548,0.9.4,2015-03-25,700
6,12332476,0.9.5,2015-06-04,362
7,12327123,0.10.0,2015-11-05,830
8,12333021,0.9.6,2015-11-05,0
9,12329843,1.0.0,2016-04-12,1521
10,12334140,0.10.1,2016-05-05,60
11,12335587,1.0.1,2016-05-06,1
12,12335747,1.0.2,2016-08-10,404
13,12342364,0.9.7,2016-09-07,129
14,12335675,0.10.2,2016-09-14,12
15,12337341,1.0.3,2017-02-14,582
16,12335748,1.1.0,2017-03-29,126
17,12339564,1.0.4,2017-07-28,466
18,12339656,1.1.1,2017-08-01,16
19,12341278,1.0.5,2017-09-15,141
20,12341596,1.0.6,2018-02-14,323
21,12341047,1.2.0,2018-02-15,0
22,12341265,1.1.2,2018-02-15,0
23,12342766,1.2.1,2018-02-15,0
24,12342767,1.1.3,2018-06-04,227
25,12342807,1.2.2,2018-06-04,0
26,12334657,2.0.0,2019-05-30,614
27,12343340,1.2.3,2019-07-19,125
28,12345999,2.1.0,2019-10-31,92
29,12346055,2.2.0,2020-06-30,195
30,12348353,2.3.0,2021-09-27,108
31,12345449,1.2.4,2021-10-11,1
32,12348559,2.2.1,2021-10-11,0
33,12346669,2.1.1,2021-10-14,1
34,12350695,2.4.0,2022-03-25,26
35,12351557,2.5.0,2023-08-04,133
36,12353484,2.6.0,2023-11-16,111
37,12353868,2.6.1,2024-02-02,51
38,12354435,2.6.2,2024-04-05,21
39,12354485,2.6.3,2024-08-09,71
40,12355059,2.7.0,2024-09-03,16
41,12354194,2.7.1,2024-12-02,99
